city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Anaheim,DEV2010-00087,851 S Western Ave,0,32,32,0,32,32,0,0,2010-09-27,1,2011-01-11,1,,2011,0,,,
Anaheim,DEV2010-00085,6115 East Henning View Terrace,0,3,3,0,3,3,3,0,2011-02-28,1,,,,2011,0,Tree removal noted,,
Anaheim,DEV2010-00161,1781 South Campton Avenue,0,400,0,400,0,0,0,0,2011-03-14,1,2011-05-17,1,,2011,1,Downzone from 450 units,"A-Town Metro Lenar Project, ",
Anaheim,DEV2010-00190,830 North Lemon St,0,16,0,16,16,0,16,1,2011-04-11,1,,,,2011,0,Residential Care facility,,
Anaheim,DEV2010-00182,Santa Ana Canyon Rd & Gypsum Canyon Rd,0,56,56,0,56,56,0,0,2011-05-09,1,2011-06-07,1,,2011,0,Still unbuilt,,
Anaheim,DEV2010-00026A,407 South Anaheim Boulevard,0,52,0,52,52,0,52,1,2011-05-23,1,,,,2011,1,"Previously approved in 2010, but...this could be a discretionary step if winds did change.",,
Anaheim,DEV2010-00027A,518 South Anaheim Boulevard,0,36,0,36,36,0,36,1,2011-05-23,1,,,,2011,1,final building elevation and vehicular circulation plans for previously-approved 52 unit and 36 unit affordable condominium complex projects,,
Anaheim,DEV2011-00014,1658 West Orangewood Ave,0,1,0,1,1,0,1,0,2011-05-23,1,,,,2011,0,Addition to existing 3 unit,,
Anaheim,DEV2010-00179,3323 West Ball Road,0,25,25,0,25,25,0,0,2011-08-29,1,,,,2011,0,,,
Anaheim,DEV2011-00032,Kroeger St and Santa Ana St,0,226,0,226,226,0,226,1,2011-11-21,1,,,,2011,0,57 affordable units,,
Anaheim,DEV2010-00026A,407 South Anaheim Boulevard,0,60,0,60,8,0,8,1,2012-09-10,1,,,,2012,1,"Yes, scale up from last year's proposal",,
Anaheim,DEV2010-00027A,518 South Anaheim Boulevard,0,36,0,36,4,0,4,1,2012-09-10,1,,,,2012,1,"Yes, scale up from last year's proposal",,
Anaheim,DEV2012-00080,2100 E Orangewood Ave,0,395,0,395,395,0,395,0,2012-11-19,1,,,,2012,0,"Scale of existing proposal, but, like, not in the same way. Need Asya to look at these 3",,
Anaheim,DEV2012-00117,501 S West St,0,3,3,0,3,3,0,0,2012-12-03,1,,,,2012,0,"Subdivision for future dev, but that dev would be by right. So this counts",,
Anaheim,DEV2012-00060,905 E Kastella Ave,0,51,0,51,51,0,51,0,2012-12-03,1,2012-12-18,1,,2012,1,"Very unclear, just says increase of units",Think about what unit increase over approved means,If the proposal is shot down the proejct doesn't die.
Anaheim,DEV2012-00135,3083 W Ball Road,0,15,0,15,15,0,15,0,2013-06-17,1,,,,2013,0,,,
Anaheim,DEV2013-00065,860 S Peralta Hills Dr,0,1,1,0,1,1,0,0,2013-09-09,1,,,,2013,0,SFR taller than what's permitted,,
Anaheim,DEV2013-00014,830 N Lemon St,0,7,0,7,7,0,7,1,2013-04-08,1,2013-05-28,1,,2013,0,,,
Anaheim,DEV2013-00064,2243 S Loara St,0,1,1,0,1,1,0,0,2013-10-07,1,,,,2013,0,Rezone and subdivide. 2 lots SFR,,
Anaheim,DEV2011-00110,200 N Lemon St,0,220,0,220,220,0,220,0,2013-10-21,1,,,,2013,0,,,
Anaheim,DEV2013-00071,801 S Anaheim Blvd,0,42,0,42,42,0,42,0,2013-12-02,1,,,,2013,0,,,
Anaheim,DEV2013-00083,1531 E Lincoln Ave,0,76,0,76,76,0,76,0,2014-01-13,1,,,,2014,0,Condo project,,
Anaheim,DEV2014-00003,1771 S Brookhurst St,0,1,1,0,1,1,0,0,2014-02-10,1,,,,2014,0,Rezone commercial to SFR,,
Anaheim,DEV2011-00110,200 N Lemon St,0,220,0,220,220,0,220,0,2014-04-21,1,,,,2014,1,Follow up zoning change?,,
Anaheim,DEV2013-00056,1619 S Euclid St,0,8,8,0,8,8,0,0,2014-06-30,1,,,,2014,0,Rezoning ,,
Anaheim,DEV2014-00039,1256 E Lincoln Ave,0,70,0,70,70,0,70,1,2014-06-16,1,,,,2014,0,Consolidate 5 parcels for 1 parcel multifamily development that will conform to rezone,,
Anaheim,DEV2014-00014,1648 W Orangewood Ave,0,3,3,0,3,3,0,0,2014-06-16,1,,,,2014,0,T to RS-3,,
Anaheim,DEV2013-00015,1807 W Orange Ave,0,37,37,0,37,37,0,0,2014-07-28,1,,,,2014,0,,,
Anaheim,DEV2014-00027,441 S Peralata Hills Dr,0,2,2,0,1,1,0,0,2014-08-25,1,,,,2014,0,2 lot residential subdivision,,
Anaheim,DEV2014-00009,2651 W Lincoln Ave,0,41,0,41,41,0,41,0,2014-08-25,1,,,,2014,0,,,
Anaheim,DEV2014-00018,641 S Brookhurst St,0,40,40,0,40,40,0,0,2014-11-17,,,,,2014,0,,,
Anaheim,DEV2012-00060B,1005 E Katella Ave,0,39,0,39,39,0,39,0,2014-09-08,1,,,,2014,1,Old project but amended for more units,,
Anaheim,DEV2014-00078,1620 S Varna St,0,2,1,1,2,1,1,1,2014-10-06,1,,,,2014,0,Senior unit and SFR,,
Anaheim,DEV2014-00103,531 S West St,0,2,2,0,2,2,0,0,2014-11-03,1,,,,2014,1,Review elevations,,
Anaheim,DEV2014-00046,701 E Cypress St,0,38,38,0,38,38,0,0,2014-11-17,1,,,,2014,0,,,
Anaheim,DEV2014-00076,1665 S Brookhurst St,0,13,0,13,13,0,13,1,2014-12-15,1,,,,2014,0,Senior Living Facility,,
Anaheim,DEV2014-00033,2848 E South St,0,20,20,0,20,20,0,0,2015-03-23,1,2015-04-21,1,,2015,0,Small lot SFR,,
Anaheim,DEV2015-00003,1731 W Medical Center Dr,0,58,0,58,58,0,58,1,2015-08-10,1,,,,2015,0,Expansion to senior apt bldg,,
Anaheim,DEV2013-00034A,1404 E Katella Ave,0,1573,0,1573,1573,0,1573,0,2015-09-09,1,,,,2015,1,"Change plan from 2681 to 1400-1746 units. Avg 1573. Diff is -1,108",,
Anaheim,DEV2015-00082,942 N Claudia St,0,1,1,0,1,1,0,0,2015-09-21,1,,,,2015,0,Weird split vote,,
Anaheim,DEV2015-00057,1609 West Cerritos Ave,0,11,11,0,11,11,0,0,2015-12-14,1,2016-02-23,1,,2016,0,"Starts as 12, cut to 11 in CC",,
Anaheim,DEV2015-00086,2365 W Moro Place,0,2,2,0,1,1,0,0,2016-10-19,1,,,,2016,0,Redraw lines to create 2 SFR,,
Anaheim,DEV2011-00125,3370 E Miraloma Ave,1,1448,0,1448,1448,0,1448,0,2015-10-19,1,2016-01-26,1,,2016,0," 2607 units over 3 bg, Split 5-3-1, Anaheim Canyon",,
Anaheim,DEV2011-00125,4633 E La Palma Ave,1,869,0,869,869,0,869,0,2015-10-20,1,2016-01-27,1,,2016,0," 2608 units over 3 bg, Split 5-3-1, Anaheim Canyon",,
Anaheim,DEV2011-00125,950 N Tustin Ave,1,290,0,290,290,0,290,0,2015-10-21,1,2016-01-28,1,,2016,0," 2609 units over 3 bg, Split 5-3-1, Anaheim Canyon",,
Anaheim,DEV2015-00043,105 E Leatrice Lane,0,3,0,3,3,0,3,0,2015-12-14,1,,,,2015,0,,,
Anaheim,DEV2015-00041,E Riverdale Ave,0,75,75,0,75,75,0,0,2015-11-16,1,2016-01-12,1,,2016,0,,,
Anaheim,DEV2014-00095,1110 N Anaheim Blvd,0,162,0,162,162,0,162,0,2015-12-14,1,2016-02-09,1,,2016,0,,,
Anaheim,DEV2015-00071,2337 S Manchester Ave,0,120,0,120,120,0,120,0,2016-01-25,1,,,,2016,0,Attached SFR,,
