city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources
Glendale,,416 Broadway,0,115,0,115,115,0,115,0,2005-03-14,1,,,,2005,,2017-10-10 CC Consent for condominium ownership,
Glendale,,624 Geneva,0,5,0,5,5,0,5,0,2011-03-16,1,,,,2011,,,
Glendale,,1315 Stanley Ave,0,4,0,4,4,0,4,0,2011-04-20,1,,,,2011,,,
Glendale,,331 W Doran St,0,60,3,57,57,0,57,1,2011-05-04,1,,,,2011,,,
Glendale,,1354 N Columbus Ave,0,7,0,7,7,0,7,0,2011-06-15,1,,,,2011,,,
Glendale,,2246 Rafael Terrace,0,2,2,0,2,2,0,0,2011-08-03,1,,,,2011,,,
Glendale,,230 South Orange St,0,338,0,338,338,0,338,0,2011-10-05,,2011-11-10,,,2011,1,"Development Fee, already approved",
Glendale,,118 S Kenwood St,0,35,0,35,35,0,35,0,2011-10-19,,2011-11-10,1,,2011,0,"Dev Fee but also design review, new project",
Glendale,,124 W Colorado St,0,50,0,50,50,0,50,0,2011-10-19,,2011-11-10,1,,2011,0,"Dev Fee but also design review, new project",
Glendale,,111 E Wilson Ave,0,42,0,42,42,0,42,0,2011-10-19,,2011-11-23,1,,2011,0,,
Glendale,,2425 Cascadia Dr,0,1,1,0,1,1,0,0,2011-11-16,1,,,,2011,,,
Glendale,,203 W Los Feliz Road,0,53,0,53,53,0,53,1,,,2011-07-26,1,,2011,,,
Glendale,,500 E Lexington Dr,0,38,0,38,38,0,38,0,,,2011-09-20,1,,2011,,,
Glendale,,320 N Central,0,307,0,307,307,0,307,0,,,2011-10-18,1,,2011,,,
Glendale,,432 Myrtle St,0,4,0,4,4,0,4,0,2012-06-06,1,,,,2012,,2013-01-22 CC Consent,
Glendale,,3138 Montrose Ave,0,16,0,16,16,0,16,0,2012-06-14,1,,,,2012,,2017-03-14 CC Consent,
Glendale,,1376 Balmoral Dr,0,1,1,0,0,0,0,0,2011-11-16,1,2012-04-17,1,,2012,,,
Glendale,,3900 San Fernando,0,58,0,58,58,0,58,1,2012-08-22,1,2012-09-18,1,,2012,,Add 58 units to previous approval,Original approved in 2009
Glendale,PGPA1233694,313 W California Ave,0,84,0,84,84,0,84,0,2012-12-05,1,,,,2012,,,
Glendale,,124 W Wilson Ave,0,238,0,238,238,0,238,0,,,2012-09-18,1,,2012,,DSP so straight to City Council,Stage 2 on 2012-09-18
Glendale,,327 W Salem St,0,44,0,44,44,0,44,1,,,2012-06-26,1,,2012,,"CC funding, not density",
Glendale,,200 W Wilson Ave,0,166,0,166,166,0,166,0,,,2012-10-30,1,,2012,,DSP so straight to City Council,
Glendale,PDA 1323868,607 North Central Avenue,0,315,0,315,315,0,315,0,2013-10-16,1,2013-11-05,1,,2013,,"Two sites nearby, same project",
Glendale,PDA 1323868,526 North Central Avenue,0,192,0,192,192,0,192,0,2013-10-16,1,2013-11-05,1,,2013,,"Two sites nearby, same project",
Glendale,PSUB CASE NO. 1308589,124 W Colorado St,0,50,0,50,50,0,50,0,2013-08-21,1,,,,2013,,"Tract map approved by Consent on 2018-03-27 bc had expired yet project 90% built. Also real approval in 2012, but needed parking exception in 2013.",
Glendale,(PSUB CASE NO. 1308606,518 Glenwood Rd,0,6,0,6,6,0,6,1,2013-07-17,1,,,,2013,,,
Glendale,,130 North Central Avenue,0,153,0,153,153,0,153,0,2013-06-05,1,2013-06-25,1,,2013,,,
Glendale,,413 Palm Drive,0,4,0,4,4,0,4,0,2013-02-20,1,2014-12-09,1,,2014,,,
Glendale,PTTMMC 1420353,125 North Central Ave,0,164,0,164,164,0,164,0,2015-04-15,1,2014-04-08,1,,2014,,,
Glendale,,111 East Wilson Ave,0,42,0,42,42,0,42,0,2015-04-01,1,2014-06-03,1,,2014,,City Council June 6 2017 for final tract map. Subdivision occurs by PC after the CC approval,
Glendale,PSUB CASE NO. 1236300,118 S Kenwood St,0,35,0,35,35,0,35,0,2014-02-05,1,,,,2014,,2014-12-09 CC Consent agenda,
Glendale,,619 S Pacific Ave,0,27,0,27,27,0,27,0,,,2014-05-13,1,,2014,,,
Glendale,,507 W Colorado St,0,90,0,90,90,0,90,1,,,2014-05-13,1,,2014,,,
Glendale,,342 Myrtle St,0,11,0,11,11,0,11,0,2014-09-17,1,,,,2014,,2015-12-08 CC Consent,
Glendale,,121 N Kenwood St,0,70,0,70,70,0,70,1,,,2014-02-18,1,,2014,,,
Glendale,,515 W Broadway,0,180,0,180,180,0,180,0,,,2014-12-09,1,,2014,,,
Glendale,,319 N Central Ave,0,94,0,94,94,0,94,0,,,2014-06-03,1,,2014,,,
Glendale,,409 N Brand Boulevard,0,219,0,219,219,0,219,0,,,2014-06-03,1,,2014,,,
Glendale,,447 Fernando Court,1,467,0,467,467,0,467,0,2014-03-19,0,2014-05-13,1,,2014,,"Weird, owners say they won't develop 467, but that's the technical increase",http://www.ci.glendale.ca.us/government/council_packets/Reports_051314/CC_SpMtg_3pm_Item4_051314.pdf
Glendale,,201 W Lexington Dr,0,489,0,489,489,0,489,0,,,2014-11-04,1,,2014,,,http://www.ci.glendale.ca.us/government/council_packets/Reports_110414/CC_SpMtg_Item2_110414.pdf
Glendale,,1225 Reynolds Drive,0,2,2,0,2,2,0,0,2015-07-15,1,,,,2015,,Subdivision of 1 to 3,
Glendale,PTMMCP 150809,463 Salem St,0,10,0,10,10,0,10,0,2015-10-07,1,,,,2015,,2018-12-11 CC Consent Item,
Glendale,PTTMCP1236035,4201 Pennsylvania Ave,0,28,0,28,28,0,28,0,2015-10-07,1,,,,2015,,"Died in 2013-11-05, Consent CC 2018-09-11",
Glendale,PTTTMCP 1772263,634 East Lomita St,0,6,0,6,6,0,6,1,2018-02-07,1,2015-05-19,1,,2015,,But they do need the discretionary condo approval. CC approved project 2015-05-19,
Glendale,PTTMCP 1424565,806 East Chestnut Street,0,3,0,3,3,0,3,0,2015-09-16,1,2016-05-24,1,,2016,,,
Glendale,PTTMMCP 1600546,373 West Doran St,0,5,0,5,5,0,5,0,2016-08-17,1,,,,2016,,,
Glendale,PZC 1601571,2612 Honolulu Ave,0,28,0,28,28,0,28,0,2016-07-20,1,2016-08-09,1,,2016,,,
Glendale,PTTMCP 1426065,115 North Adams St,0,4,0,4,4,0,4,0,2016-01-20,1,,,,2016,,,
Glendale,PTTMMCP 152507,2700 Piedmont Ave,0,5,1,4,4,0,4,0,2016-02-03,1,,,,2016,,2018-03-27 CC Consent Agenda,
Glendale,PTTMMCP 1526260,518 East Windsor Rd,0,34,0,34,34,0,34,1,2016-02-03,1,,,,2016,,,https://urbanize.la/post/new-condominiums-begin-construction-next-month-glendale
Glendale,PVAR 1602628,3440 Linda Vista Rd,0,1,1,0,1,1,0,0,2016-12-07,1,2017-07-11,1,,2017,,,
Glendale,PTTMCP 1626233,344 Milford St,0,6,0,6,6,0,6,0,2017-04-05,1,,,,2017,,,
Glendale,PTTMCP 1624030,330 Salem St,0,12,0,12,12,0,12,0,2017-01-18,1,,,,2017,,2019-05-07 CC Consent Calendar,
Glendale,PTTMCP 1624030,370 Salem St,0,18,0,18,18,0,18,0,2017-01-18,1,,,,2017,,,
Glendale,PPM1603702,2942 Oak Glen Rd,0,4,4,0,3,3,0,0,2017-11-15,1,,,,2017,,,
Glendale,PTIMCP NO. 1711546,1017 San Rafael Ave,0,5,0,5,5,0,5,0,2017-11-15,1,,,,2017,,,
Glendale,PTTTMCP 1627886,600 W Wilson Ave,0,3,0,3,3,0,3,0,2018-02-07,1,,,,2018,,,
Glendale,PTTMCP 1727975,708 E Palmer Ave,0,2,0,2,2,0,2,0,2018-02-07,1,,,,2018,,2018-10-16 CC Consent,
Glendale,47,201 W Cyrpress St,1,598,0,598,598,0,598,0,,,,,,2018,,South Glendale Community Plan v2,
Glendale,49,326 El Bonito Ave,1,299,0,299,299,0,299,0,,,,,,2018,,South Glendale Community Plan v2,
