city,application,address,zoning,totalUnits,singleFamily,multiFamily,totalUnitsNet,singleFamilyNet,multiFamilyNet,affordability,planningVote,planningApprove,councilVote,councilApprove,finalApproval,year,redesign,Notes,Sources,
Santa Cruz,008-491-14,5 Isbel Dr,0,40,0,40,40,0,40,0,,,2011-03-08,1,,2011,,,,
Santa Cruz,008-141-09,150 Fernside St,0,6,0,6,6,0,6,1,2011-04-07,1,2011-05-24,1,,2011,,,,
Santa Cruz,005-041-05,1547 Pacific Ave,0,70,0,70,70,0,0,1,2011-05-05,1,2011-10-11,1,,2011,,"But got PC, then come back in September",,"Interior structure changes in 2017-09-12, but does not affect number of bedrooms"
Santa Cruz,008-171-31,119 Coral St,0,40,0,40,0,0,0,1,,,2011-10-24,1,,2011,,,,
Santa Cruz,001-141-35,530 High St,0,1,1,0,1,1,0,0,2012-02-16,1,,,,2012,,Revisted 2016-04-21 (consent),,
Santa Cruz,,110 Lindberg St,0,21,0,21,21,0,21,1,2011-03-03,1,2012-05-22,1,,2012,,"Agreement for loan, not zoning",,
Santa Cruz,011-024-03,727 Frederick St,0,4,0,4,4,0,4,0,2012-04-19,1,2012-06-12,1,,2012,,,,
Santa Cruz,005-072-33,148 Walnet Ave,0,19,0,19,19,0,19,1,2012-06-21,1,2012-07-24,1,,2012,,,,
Santa Cruz,009-051-75,272 De Laveaga Park Rd,0,13,13,0,13,13,0,0,2012-11-15,1,2012-12-04,1,,2012,,,,
Santa Cruz,011-032-75,706 Frederick St,0,22,0,22,22,0,22,0,2013-01-24,1,2013-03-12,1,,2013,,,,
Santa Cruz,008-051-28,150 Jewell St,0,51,51,0,51,51,0,1,2013-03-21,1,,,,2013,,Memory care facility,,
Santa Cruz,010-551-05,350 Ocean St,0,58,0,58,56,0,56,1,2011-12-15,1,2012-04-10,1,,2012,,Find original documents on this,CC likes it in 2012-04-10,
Santa Cruz,010-551-05,350 Ocean St,0,5,0,5,5,0,5,1,2013-07-18,1,,,,2013,,Adds more units to the existing project,,
Santa Cruz,007-023-17,555 Pacific Ave,0,94,0,94,94,0,94,0,2014-04-03,1,2014-05-13,1,,2014,,Rent composition discussed 2016-01-26 CC,,
Santa Cruz,011-151-26,716 Seabright Ave,0,11,0,11,11,0,11,0,2015-03-19,1,2015-05-26,1,,2015,,,,
Santa Cruz,008-045-08,1804 Ocean St,0,11,0,11,11,0,11,0,2015-03-19,1,,,,2015,,Can't find City Council meeting,,
Santa Cruz,011-041-63,1800 Soquel Ave,0,32,0,32,32,0,32,0,2015-09-17,,2016-04-12,1,,2016,,,,
Santa Cruz,007-023-17,555 Pacific Ave,0,94,0,94,94,0,94,1,2016-01-07,1,,,,2016,,,,
Santa Cruz,002-301-01,735 Meder St,0,2,1,1,2,1,1,0,2016-04-21,1,,,,2016,,,,
Santa Cruz,008-331-30,232 River St,0,12,0,12,12,0,12,1,2016-06-16,1,2016-08-09,1,,2016,,,,
Santa Cruz,003-041-15,2415 Misison St,0,14,0,14,14,0,14,0,2016-07-07,1,,,,2016,,,,
Santa Cruz,010-031-76,630 Water St,0,20,0,20,20,0,20,0,2016-08-04,1,2017-02-28,1,,2016,,Exisitng 48 SROs,,
Santa Cruz,002-272-01,225 Meder St,0,4,0,4,3,0,3,0,2017-04-06,1,,,,2017,,,,
Santa Cruz,005-142-13,1013 Pacific Ave,0,17,0,17,17,0,17,0,2017-04-06,1,2017-09-26,1,,2017,,,,
Santa Cruz,010-031-58,708 Water St,0,41,0,41,41,0,41,1,2017-06-01,1,2017-06-27,1,,2017,,,,
Santa Cruz,006-081-36,437 High St,0,1,1,0,1,1,0,0,2018-03-15,1,,,,2018,,,,
Santa Cruz,,1024 Soquel Ave,0,12,0,12,12,0,12,1,2018-05-03,1,,,,2018,,,,
Santa Cruz,008-044002,1930 Ocean St Extension,0,32,0,32,32,0,32,0,2018-08-16,1,2018-11-13,1,scale down to 32,2018,,,https://www.santacruzsentinel.com/2018/09/26/embattled-santa-cruz-apartment-development-approved-on-ocean-street-extension/,https://goodtimes.sc/santa-cruz-news/news/ocean-street-extension-ceqa/
Santa Cruz,011-041-63,1800 Soquel Ave,0,35,0,35,35,0,35,0,2018-11-01,1,,,,2018,,,,
Santa Cruz,007-021-06,711 Pacific Ave,0,7,0,7,7,0,7,0,2018-10-18,1,,,,2018,,,,
Santa Cruz,005-152-11,100 Laurel St,0,205,0,205,205,0,205,1,2018-11-15,1,2018-12-11,1,,2018,,,,
Santa Cruz,,732 Riverside Ave,0,1,0,1,1,0,1,0,,,2017-05-23,1,,2017,,Put a small unit on an SFR = Duplex,,
Santa Cruz,,1010 Pacific Ave,1,300,0,300,300,0,300,0,,,,,,2017,,Downtown Housing Supply,,
Santa Cruz,,101 Church St,1,300,0,300,300,0,300,0,,,,,,2017,,Downtown Housing Supply,,
Santa Cruz,,320 West Cliffe Dr,0,1,0,1,1,0,1,0,2011-10-20,1,,,,2011,,,,
